recipe_tag	coefficient
peanutbutter	-0.04162606400567595
peanutdressing	-0.014024055663127677
peanuts	-3.739455183277758e-05
peppers	-0.031991264402216
pickledvegetables	0.003849039038135624
pie	-0.0017401688425165208
piecrust	0.04146527561005058
pork	-3.739455183277758e-05
porkbelly	-0.01958446328985986
potatoes	-0.09898414386934803
protein	0.056220346406546835
puffpastry	-0.015088507967883911
quiche	0.028401033695504115
quick	0.04153607444151834
ramen	-0.01958446328985986
refreshing	-0.006136724784846907
relish	-0.012909029223616059
rhubarb	-0.006136724784846907
rice	0.0010841175636471482
ricevinegar	-0.003645027026342865
rich	0.03534965391239643
ricotta	0.04437162968686867
salad	0.002940024828284704
salsa	-0.029235433837951526
salty	0.035435233324698126
sandwich	0.04047262268927306
sauce	0.02768391642689562
savory	-0.03955589186703669
scallions	0.00895477411636361
scallops	0.022185839421121244
seafood	0.031404446877518866
sesame	0.03178736036635857
sesameoil	-0.003645027026342865
sesameseeds	-0.003645027026342865
shrimp	0.029943100142368704
sichuancuisine	0.017621827216925456
sichuanpeppercorns	0.00895477411636361
sidedish	0.041617772268315326
sidedishes	0.004886224365829294
skewers	0.029943100142368704
smoky	0.07953186481698282
snack	-0.04408014719921259
snacks	0.006268190456224196
sobanoodles	0.014377630069375464
soft	0.03496757016872946
souffle	0.0695900116351725
soup	0.019060672173474465
sourcream	-0.02970726955692367
southern	-0.0016887543813027788
southerncuisine	-0.01940705758772107
soysauce	-0.006463311621981219
spam	-0.0007598622221324407
spices	0.023132330387708976
spicy	0.023831675239397488
spicyfood	-0.0126128200168655
spinach	0.06347782854068384
spring	0.04008044616891848
steamed	-0.005188728461172421
stirfry	0.008667053100561845
strawberry	-0.006136724784846907
streetfood	-0.016422510992307085
stuffedpeppers	-0.0126128200168655
summer	-0.10436041689185728
sushi	0.0010841175636471482
sweet	-0.06543560678807511
sweetandsalty	0.07148680107427426
sweetandsavory	0.09210161993417358
sweettreat	-0.02950175832952982
taco	0.009091587454363295
tacos	-0.005941338195171948
tangy	0.008638162418432654
tart	0.02768391642689562
tea	-0.014413250361645908
tempura	-0.000983121851369486
tender	0.021110335930642977
texmex	-0.031991264402216
thanksgiving	0.01477488720327956
toast	0.04047262268927306
tomato	0.03031807313706742
tomatoes	0.01470101955546442
tomatosauce	0.04128606439710782
tortilla	0.009667958858601453
tortillabowl	0.009091587454363295
tortillachips	0.007872493037049086
tortillas	-0.13097540827156404
traditional	-0.005188728461172421
twisted	0.007765414538000302
udonnoodles	-0.000983121851369486
vanilla	-0.0016097156920323044
vanillaicecream	0.0020555880959658357
vegan	0.04084166678498005
vegetables	0.04657441564852636
vegetarian	-0.04321488846170425
warm	-0.015088507967883911
whippedcream	0.0020555880959658357
winter	0.0037078282365802413
yeastdough	0.007765414538000302
